epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,3588.7,0.93879,0.72529,1.09135,0.93467,0.80985,0.87942,0.63328,1.06922,0.89183,1.15802,0.0003598,0.0003598,0.0003598
99,3625.26,0.91822,0.70577,1.08619,0.94427,0.81506,0.88347,0.6383,1.0784,0.89436,1.16077,0.0003532,0.0003532,0.0003532
100,3661.77,0.92073,0.71595,1.08883,0.91368,0.82056,0.8782,0.63299,1.07726,0.89255,1.15542,0.0003466,0.0003466,0.0003466
101,3697.67,0.91679,0.68629,1.08494,0.91335,0.8264,0.87727,0.62756,1.07717,0.89637,1.15975,0.00034,0.00034,0.00034
102,3733.93,0.92097,0.69602,1.08436,0.9154,0.82977,0.88517,0.63428,1.07935,0.88769,1.14283,0.0003334,0.0003334,0.0003334
103,3770.49,0.93211,0.70957,1.09274,0.91199,0.82039,0.87923,0.63398,1.08238,0.93878,1.15538,0.0003268,0.0003268,0.0003268
104,3806.8,0.9087,0.67435,1.07947,0.89841,0.84509,0.88756,0.63787,1.07161,0.88632,1.14073,0.0003202,0.0003202,0.0003202
105,3842.28,0.91877,0.69995,1.08019,0.86859,0.84149,0.8731,0.62838,1.06799,0.96091,1.14885,0.0003136,0.0003136,0.0003136
106,3878.57,0.91938,0.68738,1.07815,0.92376,0.83572,0.88672,0.6464,1.04445,0.84911,1.12203,0.000307,0.000307,0.000307
107,3915.31,0.92092,0.71805,1.08743,0.91766,0.82726,0.87938,0.64051,1.06931,0.88404,1.14544,0.0003004,0.0003004,0.0003004
108,3950.65,0.89624,0.67388,1.06397,0.91008,0.83254,0.88571,0.64287,1.04773,0.86879,1.12977,0.0002938,0.0002938,0.0002938
109,3986.77,0.89255,0.67842,1.073,0.89767,0.85512,0.89002,0.6414,1.06617,0.8732,1.14229,0.0002872,0.0002872,0.0002872
110,4023.07,0.91132,0.67602,1.08322,0.90879,0.83406,0.88065,0.63648,1.06175,0.89348,1.1361,0.0002806,0.0002806,0.0002806
111,4058.65,0.90014,0.6836,1.07381,0.90696,0.84577,0.88198,0.63797,1.06171,0.87082,1.13277,0.000274,0.000274,0.000274
112,4094.47,0.89535,0.66922,1.07082,0.91933,0.83579,0.88272,0.6392,1.05201,0.88369,1.13873,0.0002674,0.0002674,0.0002674
113,4130.36,0.89875,0.66352,1.06872,0.91715,0.82939,0.88405,0.63972,1.06212,0.88959,1.13937,0.0002608,0.0002608,0.0002608
114,4166.81,0.91124,0.68917,1.08535,0.90304,0.82568,0.87589,0.64058,1.05387,0.91693,1.13921,0.0002542,0.0002542,0.0002542
115,4202.08,0.90518,0.68012,1.07546,0.90838,0.8372,0.88116,0.64102,1.053,0.88917,1.13597,0.0002476,0.0002476,0.0002476
116,4238.32,0.88749,0.65813,1.06214,0.91893,0.82452,0.88401,0.6424,1.06525,0.90049,1.1297,0.000241,0.000241,0.000241
117,4274.16,0.87732,0.65863,1.06286,0.91568,0.8177,0.8757,0.63708,1.05156,0.90256,1.13775,0.0002344,0.0002344,0.0002344
118,4309.51,0.87988,0.64815,1.05955,0.93049,0.82461,0.88555,0.64372,1.06643,0.87429,1.15147,0.0002278,0.0002278,0.0002278
119,4346.25,0.86402,0.63747,1.04969,0.91267,0.83267,0.88509,0.64435,1.04724,0.877,1.12667,0.0002212,0.0002212,0.0002212
120,4383.75,0.86055,0.63529,1.05158,0.89305,0.84218,0.87918,0.63662,1.05772,0.89755,1.13853,0.0002146,0.0002146,0.0002146
121,4420.8,0.87822,0.66785,1.06595,0.91298,0.83251,0.8844,0.64528,1.04017,0.84526,1.12878,0.000208,0.000208,0.000208
122,4456.26,0.87862,0.65084,1.06062,0.91719,0.82017,0.88656,0.64539,1.04743,0.87082,1.13498,0.0002014,0.0002014,0.0002014
123,4492.7,0.88272,0.66295,1.06157,0.88871,0.83704,0.87861,0.64656,1.04296,0.88041,1.12802,0.0001948,0.0001948,0.0001948
124,4528.57,0.86943,0.65558,1.05806,0.91662,0.82307,0.88334,0.64646,1.04669,0.85916,1.12549,0.0001882,0.0001882,0.0001882
125,4563.6,0.86765,0.64257,1.04919,0.90413,0.8315,0.88478,0.64581,1.04442,0.87113,1.13496,0.0001816,0.0001816,0.0001816
126,4600.25,0.86657,0.6515,1.05695,0.89363,0.84328,0.88416,0.64163,1.05585,0.90811,1.14257,0.000175,0.000175,0.000175
127,4638.02,0.85772,0.63501,1.05202,0.90557,0.82888,0.88583,0.64378,1.04145,0.88473,1.13373,0.0001684,0.0001684,0.0001684
128,4674.44,0.85422,0.6313,1.05636,0.89608,0.83596,0.88497,0.64524,1.04232,0.87627,1.13858,0.0001618,0.0001618,0.0001618
129,4710.27,0.85611,0.62211,1.04232,0.90899,0.82807,0.87885,0.64089,1.04927,0.88765,1.13168,0.0001552,0.0001552,0.0001552
130,4746.29,0.83902,0.63337,1.04465,0.91551,0.81985,0.88226,0.644,1.03967,0.88698,1.12654,0.0001486,0.0001486,0.0001486
131,4783.58,0.78649,0.5292,1.00226,0.90713,0.8398,0.88413,0.64154,1.04042,0.86397,1.1393,0.000142,0.000142,0.000142
132,4817.79,0.79388,0.53713,1.00734,0.90862,0.8295,0.88189,0.6388,1.03981,0.89984,1.14145,0.0001354,0.0001354,0.0001354
133,4852.29,0.79098,0.51789,1.00178,0.91667,0.82571,0.88135,0.64265,1.03604,0.88939,1.13561,0.0001288,0.0001288,0.0001288
134,4886.08,0.77533,0.51427,0.99338,0.90813,0.82637,0.88177,0.64588,1.04096,0.85633,1.13588,0.0001222,0.0001222,0.0001222
